,shortName,address,city,vipZone,ramp,person,Prime,latitude,longitude
106,ОО «Алдан» Филиала № 2754 Банка ВТБ (ПАО),"Республика Саха (Якутия), г. Алдан, ул. Ленина, д. 20",Алдан,False,False,True,False,58.608902,125.388096
107,ОО «На Набережной» Филиала № 7806 Банка ВТБ (ПАО),"Архангельская область, г. Архангельск, наб. Северной Двины, д. 55",Архангельск,True,True,True,False,64.530993,40.527018
108,РОО «Астраханский»,"Астраханская область, г. Астрахань, ул. Савушкина, д. 12Б",Астрахань,False,True,True,False,46.370956,48.048729
109,ОО «Трубецкого» Филиала № 3652 Банка ВТБ (ПАО),"Белгородская область, г. Белгород, пр-т Гражданский, д. 36",Белгород,False,True,True,False,50.594259,36.596942
110,ОО «На Шевченко» Филиала № 2754 Банка ВТБ (ПАО),"Амурская область, г. Благовещенск, ул. Шевченко, д. 36 ЛА1",Благовещенск,True,False,True,False,50.263492,127.528287
111,ОО «Железнодорожный» Филиала № 3652 Банка ВТБ (ПАО),"Ярославская область, г. Ярославль, ул. Угличская, д. 21",Ярославль,True,True,True,False,57.629262,39.846544
112,ОО «Дзержинский» Филиала № 2351 Банка ВТБ (ПАО),"Волгоградская область, г. Волгоград, ул. 8-ой Воздушной армии, д. 58",Волгоград,True,True,True,False,48.758772,44.501614000000004
113,ОО «На Коммунистической» Филиала № 2351 Банка ВТБ (ПАО),"Волгоградская область, г. Волгоград, ул. Коммунистическая, д. 19Д",Волгоград,False,True,True,False,48.715878000000004,44.522805
114,ОО «На Комсомольской» Филиала № 2351 Банка ВТБ (ПАО),"Волгоградская область, г. Волгоград, ул. Комсомольская, д. 8",Волгоград,True,False,True,False,48.709208,44.521287
115,ОО ЦИК «Панорама» Филиала № 2351 Банка ВТБ (ПАО),"Волгоградская область, г. Волгоград, ул. 13-й Гвардейской, 7А",Волгоград,False,True,True,False,48.715152,44.530288
116,ДО «Площадь Ленина» Филиала № 3652 Банка ВТБ (ПАО),"Воронежская область, г. Воронеж, пл. Ленина, д. 3",Воронеж,True,True,True,False,51.659551,39.199883
117,ДО «Персональный» Филиала № 6602 Банка ВТБ (ПАО),"Свердловская область, г. Екатеринбург, ул. Бориса Ельцина, д. 1А",Екатеринбург,False,True,True,True,56.846169,60.589354
118,ДО «Локомотивный» Филиала № 6602 Банка ВТБ (ПАО),"Свердловская область, г. Екатеринбург, ул. Техническая, д. 63",Екатеринбург,False,False,True,False,56.869004,60.522977
119,РОО «Владимирский»,"Владимирская область, г. Владимир, ул. Разина, д. 21",Владимир,True,True,True,False,56.117542,40.367109
120,ОО в г. Костроме Филиала в г. Воронеже,"Костромская область, г. Кострома, ул. Советская, д. 49",Кострома,False,False,False,False,57.763626,40.942049
121,ОО «Когалымский» Филиала № 6602 Банка ВТБ (ПАО),"Ханты-Мансийский автономный округ-Югра, г. Когалым, ул. Ленинградская, д. 19/1",Когалым,False,False,True,False,62.260606,74.47370599999999
122,ОО в г. Кемерово Филиала в г. Красноярске,"Кемеровская область, г. Кемерово, ул. Н. Островского, д. 12",Кемерово,False,False,False,False,55.362281,86.074945
123,ОО «Корсаковский» Филиала № 2754 Банка ВТБ (ПАО),"Сахалинская область, г. Корсаков, ул. Советская, д. 36",Корсаков,False,False,True,False,46.633556,142.781348
124,ОО в г. Смоленске Филиала в г. Воронеже,"Смоленская область, г. Смоленск, пр-т Гагарина, д. 5а",Смоленск,False,False,False,False,54.776233,32.049922
125,ОО «Заволжский» Филиала № 3652 Банка ВТБ (ПАО),"Костромская область, г. Кострома, мкр. Паново, д. 11",Кострома,False,False,True,False,57.736832,40.910087
126,ОО в г. Твери Филиала в г. Воронеже,"Тверская область, г. Тверь, пер. Свободный, д. 9",Тверь,False,False,False,False,56.857721,35.903991
127,ДО «Екатерининский» Филиала № 2351 Банка ВТБ (ПАО),"Краснодарский край, г. Краснодар, ул. Ленина, д.82/ ул. Суворова, д. 105",Краснодар,False,True,True,True,45.021679,38.981368
128,ДО «Жуковский Центральный» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Жуковский, ул. Ломоносова, д. 4",Жуковский,True,True,True,False,55.589992,38.123306
129,ОО «На Лежневской» Филиала № 3652 Банка ВТБ (ПАО),"Ивановская область, г. Иваново, ул. Лежневская, д. 119",Иваново,False,False,True,False,56.974092,40.975511
130,ОО «На Ленина» в г. Иваново Филиала № 3652 Банка ВТБ (ПАО),"Ивановская область, г. Иваново, пр-т Ленина, д. 36",Иваново,True,True,True,False,56.998568,40.974613
131,ДО «Сергиево-Посадский» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Сергиев Посад, проспект Красной Армии, д. 203в   ",Сергиев Посад,False,True,True,False,56.322984,38.143752
132,ОО «Родниковый край» Филиала № 6318 Банка ВТБ (ПАО),"Удмуртская Республика, г. Ижевск, ул. Молодежная, д. 35",Ижевск,True,False,True,False,56.852844,53.290317
133,РОО «Йошкар-Олинский»,"Республика Марий Эл, г. Йошкар-Ола, ул. Вашская, д. 8",Йошкар-Ола,True,True,True,False,56.628911,47.889179
134,ОО «Прегольский» Филиала № 7806 Банка ВТБ (ПАО),"Калининградская область, г. Калининград, Ленинский пр-т, д. № 87-91",Калининград,True,False,True,False,54.703806,20.507002
135,ОО «Южный» в г. Калининграде Филиала № 7806 Банка ВТБ (ПАО),"Калининградская область, г. Калининград, ул. Киевская, д. 1",Калининград,False,False,True,False,54.692396,20.504702
136,ДО в г. Дзержинске Филиала в г. Нижнем Новгороде,"Нижегородская область, г. Дзержинск, пр-т Ленина, д. 59",Дзержинск,False,False,False,False,56.238387,43.457116
137,ОО «На Достоевского» Филиала № 3652 Банка ВТБ (ПАО),"Калужская область, г. Калуга, ул. Достоевского, д. 20",Калуга,True,False,True,False,54.511875,36.251756
138,ОО «Кандалакша» Филиала № 7806 Банка ВТБ (ПАО),"Мурманская область, г. Кандалакша, ул. Первомайская, д. 83а",Кандалакша,True,False,True,False,67.156524,32.412383
139,ОО «Карталинский» Филиала № 6602 Банка ВТБ (ПАО),"Челябинская область, г. Карталы, ул. Орджоникидзе, д. 1",Карталы,False,False,True,False,53.050601,60.636174
140,ОО «Кингисеппский» Филиала № 7806 Банка ВТБ (ПАО),"Ленинградская область, г. Кингисепп, пр-т К.Маркса, д. 25/2",Кингисепп,False,False,True,False,59.37075,28.608018
141,ОО «На Кирова» в г. Кургане Филиала № 6602 Банка ВТБ (ПАО),"Курганская область, г. Курган, ул. Кирова, д. 111/II",Курган,False,False,True,False,55.439936,65.328757
142,ОО в г. Перми Филиала в г. Нижнем Новгороде,"Пермский край, г. Пермь, ул. Луначарского, д. 54",Пермь,False,False,False,False,58.009311,56.244526
143,РОО «Курский»,"Курская область, г. Курск, ул. Радищева, д. 24",Курск,True,True,True,False,51.732855,36.18988
144,ОО «Центральный» Филиала № 2754 Банка ВТБ (ПАО),"Республика Саха (Якутия), г. Мирный, ул. Тихонова, д. 3",Мирный,True,False,True,False,62.546996,113.981073
145,ДО «Гагаринский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ленинский пр-т, д. 64",Москва,True,True,True,False,55.692475,37.551726
146,ДО «Талицкий» Филиала № 6602 Банка ВТБ (ПАО),"Свердловская область, Талицкий р-н, ст. Талица, 2028 км.",ст. Талица,False,False,True,False,57.062237,63.744983
147,ОО «Сеймский» Филиала № 3652 Банка ВТБ (ПАО),"Курская область, г. Курск, ул. Харьковская, д. 3",Курск,False,True,True,False,51.674114,36.145359
148,ОО «Ленский» Филиала № 2754 Банка ВТБ (ПАО),"Республика Саха (Якутия), г. Ленск, ул. Победы, д. 6",Ленск,False,False,True,False,60.715694,114.917585
149,ДО «Дмитров» Филиала № 7701 Банка ВТБ (ПАО),"Московская область, г. Дмитров, ул. Профессиональная, д. 1а",Дмитров,True,True,True,False,56.348397,37.517994
150,РОО «Липецкий»,"Липецкая область, г. Липецк, ул. Гагарина, д. 33",Липецк,True,True,True,False,52.616787,39.598429
151,ОО «На Космонавтов» Филиала № 3652 Банка ВТБ (ПАО),"Липецкая область, г. Липецк, ул. Космонавтов, д. 102",Липецк,False,False,True,False,52.607437,39.543487999999996
